Entity,Code,Year,Total population (Fink-Jensen 2015)
Barbados,BRB,1800,81.729
Barbados,BRB,1820,81.729
Barbados,BRB,1850,136
Barbados,BRB,1860,153
Barbados,BRB,1870,162
Barbados,BRB,1880,172
Barbados,BRB,1890,183
Barbados,BRB,1900,196
Barbados,BRB,1910,172
Barbados,BRB,1920,157
Barbados,BRB,1930,174
Barbados,BRB,1940,194
Barbados,BRB,1950,210.666
Barbados,BRB,1960,232.33900000000003
Barbados,BRB,1970,238.75599999999997
Barbados,BRB,1980,251.96599999999998
Barbados,BRB,1990,262
Barbados,BRB,2000,274
Belarus,BLR,1800,2355.081
Belarus,BLR,1820,2355.081
Belarus,BLR,1950,7722.155
Belarus,BLR,1960,8167.918000000001
Belarus,BLR,1970,9027.198
Belarus,BLR,1980,9643.706
Belarus,BLR,1990,10215.208
Belarus,BLR,2000,10366.719000000001
Belgium,BEL,1500,1400
Belgium,BEL,1600,1600
Belgium,BEL,1650,1500
Belgium,BEL,1700,2000
Belgium,BEL,1750,2250
Belgium,BEL,1800,3250
Belgium,BEL,1820,3434
Belgium,BEL,1830,3750
Belgium,BEL,1840,4080
Belgium,BEL,1850,4449
Belgium,BEL,1860,4740
Belgium,BEL,1870,5096
Belgium,BEL,1880,5541
Belgium,BEL,1890,6096
Belgium,BEL,1900,6719
Belgium,BEL,1910,7498
Belgium,BEL,1920,7552
Belgium,BEL,1930,8076
Belgium,BEL,1940,8346
Belgium,BEL,1950,8639.369
Belgium,BEL,1960,9118.7
Belgium,BEL,1970,9637.8
Belgium,BEL,1980,9846.8
Belgium,BEL,1990,9969.31
Belgium,BEL,2000,10263.618
Belize,BLZ,1800,25.526
Belize,BLZ,1820,25.526
Belize,BLZ,1860,26
Belize,BLZ,1870,25
Belize,BLZ,1880,27
Belize,BLZ,1890,31
Belize,BLZ,1900,37
Belize,BLZ,1910,40
Belize,BLZ,1920,45
Belize,BLZ,1930,51
Belize,BLZ,1940,59
Belize,BLZ,1950,65.797
Belize,BLZ,1960,91.863
Belize,BLZ,1970,122.07
Belize,BLZ,1980,144.416
Belize,BLZ,1990,190.847
Belize,BLZ,2000,247.887
Benin,BEN,1800,636.559
Benin,BEN,1820,636.559
Benin,BEN,1850,791.150466855
Benin,BEN,1860,821.899564277
Benin,BEN,1870,889.655176351
Benin,BEN,1880,967.817332586
Benin,BEN,1890,1026.9234528
Benin,BEN,1900,1079.44045377
Benin,BEN,1910,1169.57952922
Benin,BEN,1920,1257.75665661
Benin,BEN,1930,1459.67794794
Benin,BEN,1940,1677.39983881
Benin,BEN,1950,2005
Benin,BEN,1960,2316
Benin,BEN,1970,2619.8089999999997
Benin,BEN,1980,3458
Benin,BEN,1990,4705
Benin,BEN,2000,6619
Bhutan,BTN,1800,392.287
Bhutan,BTN,1820,392.287
Bhutan,BTN,1910,250
Bhutan,BTN,1920,250
Bhutan,BTN,1930,250
Bhutan,BTN,1940,250
Bhutan,BTN,1950,164
Bhutan,BTN,1960,212
Bhutan,BTN,1970,309
Bhutan,BTN,1980,446
Bhutan,BTN,1990,615
Bhutan,BTN,2000,606
Bolivia,BOL,1500,900
Bolivia,BOL,1550,803
Bolivia,BOL,1600,670
Bolivia,BOL,1650,591
Bolivia,BOL,1700,534
Bolivia,BOL,1750,562
Bolivia,BOL,1800,887
Bolivia,BOL,1820,1100
Bolivia,BOL,1850,1374
Bolivia,BOL,1870,1495
Bolivia,BOL,1880,1098
Bolivia,BOL,1900,1696
Bolivia,BOL,1910,1837
Bolivia,BOL,1920,2136
Bolivia,BOL,1930,2397
Bolivia,BOL,1940,2690
Bolivia,BOL,1950,2766.028
Bolivia,BOL,1960,3434.073
Bolivia,BOL,1970,4346.218
Bolivia,BOL,1980,5441.298000000001
Bolivia,BOL,1990,6573.9
Bolivia,BOL,2000,8195
Bosnia and Herzegovina,BIH,1800,851.806
Bosnia and Herzegovina,BIH,1820,851.806
Bosnia and Herzegovina,BIH,1870,1158
Bosnia and Herzegovina,BIH,1880,1360
Bosnia and Herzegovina,BIH,1890,1568
Bosnia and Herzegovina,BIH,1910,1972
Bosnia and Herzegovina,BIH,1950,2662
Bosnia and Herzegovina,BIH,1960,3240
Bosnia and Herzegovina,BIH,1970,3703
Bosnia and Herzegovina,BIH,1980,4092
Bosnia and Herzegovina,BIH,1990,4423.646
Bosnia and Herzegovina,BIH,2000,4035.4570000000003
Botswana,BWA,1800,121
Botswana,BWA,1850,100.046069808
Botswana,BWA,1860,110.623676179
Botswana,BWA,1870,122.31962489700001
Botswana,BWA,1880,135.252155341
Botswana,BWA,1890,149.552008027
Botswana,BWA,1900,165.363746319
Botswana,BWA,1910,194.663368121
Botswana,BWA,1920,227.038281316
Botswana,BWA,1930,279.529379797
Botswana,BWA,1940,341.36183932
Botswana,BWA,1950,412.827
Botswana,BWA,1960,528.827
Botswana,BWA,1970,583.999
Botswana,BWA,1980,900.4760000000001
Botswana,BWA,1990,1265
Botswana,BWA,2000,1680
Brazil,BRA,1500,1000
Brazil,BRA,1600,800
Brazil,BRA,1700,1250
Brazil,BRA,1750,1500
Brazil,BRA,1800,2500
Brazil,BRA,1820,4507
Brazil,BRA,1850,7234
Brazil,BRA,1870,9797
Brazil,BRA,1880,11794
Brazil,BRA,1890,14199
Brazil,BRA,1900,17984
Brazil,BRA,1910,22216
Brazil,BRA,1920,27404
Brazil,BRA,1930,33568
Brazil,BRA,1940,41114
Brazil,BRA,1950,53443.075
Brazil,BRA,1960,71694.81
Brazil,BRA,1970,95684.29699999999
Brazil,BRA,1980,123020
Brazil,BRA,1990,151170
Brazil,BRA,2000,176320
Brunei,BRN,1910,22
Brunei,BRN,1920,26
Brunei,BRN,1930,30
Brunei,BRN,1940,41
Brunei,BRN,1950,44.983000000000004
Brunei,BRN,1960,83.037
Brunei,BRN,1970,127.554
Brunei,BRN,1980,185.22
Brunei,BRN,1990,253
Brunei,BRN,2000,325
Bulgaria,BGR,1500,800
Bulgaria,BGR,1600,1250
Bulgaria,BGR,1700,1250
Bulgaria,BGR,1800,2250
Bulgaria,BGR,1820,2187
Bulgaria,BGR,1850,2500
Bulgaria,BGR,1870,2586
Bulgaria,BGR,1890,3445
Bulgaria,BGR,1900,4000
Bulgaria,BGR,1910,4520
Bulgaria,BGR,1920,5072
Bulgaria,BGR,1930,6027
Bulgaria,BGR,1940,6666
Bulgaria,BGR,1950,7250.5
Bulgaria,BGR,1960,7867.374
Bulgaria,BGR,1970,8489.574
Bulgaria,BGR,1980,8843.528
Bulgaria,BGR,1990,8894.028
Bulgaria,BGR,2000,7818.495
Burkina Faso,BFA,1800,1665.421
Burkina Faso,BFA,1820,1665.421
Burkina Faso,BFA,1850,1851.68652824
Burkina Faso,BFA,1860,1889.05534624
Burkina Faso,BFA,1870,1927.17830298
Burkina Faso,BFA,1880,2005.66790831
Burkina Faso,BFA,1890,2087.35421741
Burkina Faso,BFA,1900,2194.1017876999995
Burkina Faso,BFA,1910,2447.7571464000002
Burkina Faso,BFA,1920,2650.7797747
Burkina Faso,BFA,1930,3016.25532678
Burkina Faso,BFA,1940,3398.39007672
Burkina Faso,BFA,1950,3983
Burkina Faso,BFA,1960,4563
Burkina Faso,BFA,1970,5303.776999999999
Burkina Faso,BFA,1980,6318
Burkina Faso,BFA,1990,8361
Burkina Faso,BFA,2000,11588
Burundi,BDI,1800,899.097
Burundi,BDI,1820,899.097
Burundi,BDI,1850,1410.00506034
Burundi,BDI,1860,1496.92650601
Burundi,BDI,1870,1589.206328
Burundi,BDI,1880,1704.02119071
Burundi,BDI,1890,1827.13104474
Burundi,BDI,1900,1737.80284634
Burundi,BDI,1910,1603.67820076
Burundi,BDI,1920,1540.67349059
Burundi,BDI,1930,1788.01448386
Burundi,BDI,1940,2054.7102265
Burundi,BDI,1950,2456
Burundi,BDI,1960,2940
Burundi,BDI,1970,3521.913
Burundi,BDI,1980,4299.555
Burundi,BDI,1990,5505.113
Burundi,BDI,2000,6621.126
Cambodia,KHM,1800,2090
Cambodia,KHM,1820,2090
Cambodia,KHM,1870,2340
Cambodia,KHM,1910,3070
Cambodia,KHM,1930,2806
Cambodia,KHM,1940,3046
Cambodia,KHM,1950,4471.17
Cambodia,KHM,1960,5761.223000000001
Cambodia,KHM,1970,7396
Cambodia,KHM,1980,6888
Cambodia,KHM,1990,9345
Cambodia,KHM,2000,12396
Cameroon,CMR,1800,1860.0539999999999
Cameroon,CMR,1820,1860.0539999999999
Cameroon,CMR,1850,2767.54652198
Cameroon,CMR,1860,2900.7596805999997
Cameroon,CMR,1870,3050.83990234
Cameroon,CMR,1880,3241.3720038
Cameroon,CMR,1890,3444.45243276
Cameroon,CMR,1900,3312.92256014
Cameroon,CMR,1910,3040.69239055
Cameroon,CMR,1920,2912.17207377
Cameroon,CMR,1930,3323.21210468
Cameroon,CMR,1940,3777.1053217
Cameroon,CMR,1950,4466
Cameroon,CMR,1960,5408
Cameroon,CMR,1970,6726.733
Cameroon,CMR,1980,8762
Cameroon,CMR,1990,11884
Cameroon,CMR,2000,15343
Canada,CAN,1500,250
Canada,CAN,1600,250
Canada,CAN,1700,200
Canada,CAN,1750,300
Canada,CAN,1800,500
Canada,CAN,1820,816
Canada,CAN,1830,1169
Canada,CAN,1840,1697
Canada,CAN,1850,2485
Canada,CAN,1860,3369
Canada,CAN,1870,3781
Canada,CAN,1880,4384
Canada,CAN,1890,4918
Canada,CAN,1900,5457
Canada,CAN,1910,7188
Canada,CAN,1920,8798
Canada,CAN,1930,10488
Canada,CAN,1940,11688
Canada,CAN,1950,14011.421999999999
Canada,CAN,1960,18266.765
Canada,CAN,1970,21749.986
Canada,CAN,1980,24593.3
Canada,CAN,1990,27790.6
Canada,CAN,2000,31100
Cape Verde,CPV,1550,10
Cape Verde,CPV,1700,20
Cape Verde,CPV,1800,55.716
Cape Verde,CPV,1820,55.716
Cape Verde,CPV,1910,144
Cape Verde,CPV,1920,127
Cape Verde,CPV,1930,146
Cape Verde,CPV,1940,182
Cape Verde,CPV,1950,146.403
Cape Verde,CPV,1960,196.768
Cape Verde,CPV,1970,268.867
Cape Verde,CPV,1980,296.04200000000003
Cape Verde,CPV,1990,349.264
Cape Verde,CPV,2000,402
Central African Republic,CAF,1800,479.444
Central African Republic,CAF,1820,479.444
Central African Republic,CAF,1850,930.846504735
Central African Republic,CAF,1860,935.801850003
Central African Republic,CAF,1870,954.1117341239999
Central African Republic,CAF,1880,987.3243389060001
Central African Republic,CAF,1890,1021.92100522
Central African Republic,CAF,1900,976.5358291030001
Central African Republic,CAF,1910,919.500619461
Central African Republic,CAF,1920,874.4977715189999
Central African Republic,CAF,1930,995.068917749
Central African Republic,CAF,1940,1121.13596807
Central African Republic,CAF,1950,1314
Central African Republic,CAF,1960,1530
Central African Republic,CAF,1970,1839.245
Central African Republic,CAF,1980,2349
Central African Republic,CAF,1990,3085
Central African Republic,CAF,2000,3940
Chad,TCD,1800,1432
Chad,TCD,1850,1787.52196236
Chad,TCD,1860,1805.47783535
Chad,TCD,1870,1823.61407725
Chad,TCD,1880,1860.41636614
Chad,TCD,1890,1897.96136067
Chad,TCD,1900,1751.47558677
Chad,TCD,1910,1682.6642680999998
Chad,TCD,1920,1616.55638281
Chad,TCD,1930,1839.4386614999999
Chad,TCD,1940,2072.48041586
Chad,TCD,1950,2429
Chad,TCD,1960,2967
Chad,TCD,1970,3727
Chad,TCD,1980,4522
Chad,TCD,1990,5841
Chad,TCD,2000,7943
Chile,CHL,1500,600
Chile,CHL,1550,700
Chile,CHL,1600,600
Chile,CHL,1650,600
Chile,CHL,1700,600
Chile,CHL,1750,700
Chile,CHL,1800,771.447
Chile,CHL,1820,771.447
Chile,CHL,1830,965.173
Chile,CHL,1840,1180.761
Chile,CHL,1850,1409.885
Chile,CHL,1860,1660.6589999999999
Chile,CHL,1870,1944.569
Chile,CHL,1880,2264.042
Chile,CHL,1890,2607.769
Chile,CHL,1900,2958.986
Chile,CHL,1910,3317.1659999999997
Chile,CHL,1920,3722.598
Chile,CHL,1930,4265.755999999999
Chile,CHL,1940,5056.404
Chile,CHL,1950,6090.8330000000005
Chile,CHL,1960,7585.349
Chile,CHL,1970,9368.558
Chile,CHL,1980,11093.718
Chile,CHL,1990,13129
Chile,CHL,2000,15156
China,CHN,1500,103000
China,CHN,1600,160000
China,CHN,1650,140000
China,CHN,1700,138000
China,CHN,1750,225000
China,CHN,1800,330000
China,CHN,1810,345717
China,CHN,1820,381000
China,CHN,1830,409000
China,CHN,1840,412000
China,CHN,1850,412000
China,CHN,1860,377000
China,CHN,1870,358000
China,CHN,1880,368000
China,CHN,1890,380000
China,CHN,1900,400000
China,CHN,1910,423000
China,CHN,1920,472000
China,CHN,1930,489000
China,CHN,1940,518770
China,CHN,1950,546815
China,CHN,1960,667070
China,CHN,1970,818315
China,CHN,1980,981861
China,CHN,1990,1135185
China,CHN,2000,1262645
Colombia,COL,1500,1000
Colombia,COL,1550,900
Colombia,COL,1600,800
Colombia,COL,1650,800
Colombia,COL,1700,800
Colombia,COL,1750,807
Colombia,COL,1800,1206
Colombia,COL,1820,1206
Colombia,COL,1830,1686
Colombia,COL,1840,1932
Colombia,COL,1850,2065
Colombia,COL,1860,2694
Colombia,COL,1870,2392
Colombia,COL,1890,3369
Colombia,COL,1900,3998
Colombia,COL,1910,4890
Colombia,COL,1920,6213
Colombia,COL,1930,7914
Colombia,COL,1940,9174
Colombia,COL,1950,11591.658000000001
Colombia,COL,1960,15952.726999999999
Colombia,COL,1970,21429.658
Colombia,COL,1980,26631
Colombia,COL,1990,32957
Colombia,COL,2000,39817
Comoros,COM,1500,10
Comoros,COM,1600,20
Comoros,COM,1700,30
Comoros,COM,1750,40
Comoros,COM,1800,56.346000000000004
Comoros,COM,1820,56.346000000000004
Comoros,COM,1850,60
Comoros,COM,1900,80
Comoros,COM,1920,120
Comoros,COM,1950,148.05700000000002
Comoros,COM,1960,182.899
Comoros,COM,1970,236.252
Comoros,COM,1980,333.51300000000003
Comoros,COM,1990,429.01
Comoros,COM,2000,579
Congo,COG,1800,314.465
Congo,COG,1820,314.465
Congo,COG,1850,507.653257224
Congo,COG,1860,507.653257224
Congo,COG,1870,538.948148469
Congo,COG,1880,583.64975205
Congo,COG,1890,625.8165021890001
Congo,COG,1900,595.220415045
Congo,COG,1910,538.306674046
Congo,COG,1920,506.866522962
Congo,COG,1930,588.239292736
Congo,COG,1940,675.979585916
Congo,COG,1950,808
Congo,COG,1960,1003
Congo,COG,1970,1272.4080000000001
Congo,COG,1980,1674.005
Congo,COG,1990,2266
Congo,COG,2000,3104
"Congo, DRC",,1800,5163.819
"Congo, DRC",,1820,5163.819
"Congo, DRC",,1850,8222.55796283
"Congo, DRC",,1860,8269.61117736
"Congo, DRC",,1870,8810.81395744
"Congo, DRC",,1880,9507.902471
"Congo, DRC",,1890,9949.94540003
"Congo, DRC",,1900,9449.636507700001
"Congo, DRC",,1910,8546.08187292
"Congo, DRC",,1920,8055.65988048
"Congo, DRC",,1930,9186.08121906
"Congo, DRC",,1940,10372.5995215
"Congo, DRC",,1950,12184
"Congo, DRC",,1960,15451
"Congo, DRC",,1970,21780.955
"Congo, DRC",,1980,29013
"Congo, DRC",,1990,39047
"Congo, DRC",,2000,51849
Costa Rica,CRI,1700,19
Costa Rica,CRI,1750,24
Costa Rica,CRI,1800,53
Costa Rica,CRI,1820,63
Costa Rica,CRI,1830,78
Costa Rica,CRI,1840,94
Costa Rica,CRI,1850,101
Costa Rica,CRI,1860,120
Costa Rica,CRI,1870,137
Costa Rica,CRI,1880,182
Costa Rica,CRI,1890,243
Costa Rica,CRI,1900,297
Costa Rica,CRI,1910,363
Costa Rica,CRI,1920,420
Costa Rica,CRI,1930,500
Costa Rica,CRI,1940,620
Costa Rica,CRI,1950,866.982
Costa Rica,CRI,1960,1248.022
Costa Rica,CRI,1970,1735.523
Costa Rica,CRI,1980,2299.124
Costa Rica,CRI,1990,3027.175
Costa Rica,CRI,2000,3710.558
Cote d'Ivoire,CIV,1800,1088.53
Cote d'Ivoire,CIV,1820,1088.53
Cote d'Ivoire,CIV,1850,1033.82850164
Cote d'Ivoire,CIV,1860,1108.51916665
Cote d'Ivoire,CIV,1870,1176.85515439
Cote d'Ivoire,CIV,1880,1261.87901857
Cote d'Ivoire,CIV,1890,1326.4116781999999
Cote d'Ivoire,CIV,1900,1422.24050297
Cote d'Ivoire,CIV,1910,1480.16513588
Cote d'Ivoire,CIV,1920,1571.41168319
Cote d'Ivoire,CIV,1930,1823.68741127
Cote d'Ivoire,CIV,1940,2095.70403802
Cote d'Ivoire,CIV,1950,2505
Cote d'Ivoire,CIV,1960,3557
Cote d'Ivoire,CIV,1970,5579
Cote d'Ivoire,CIV,1980,8593
Cote d'Ivoire,CIV,1990,12491
Cote d'Ivoire,CIV,2000,16885
Croatia,HRV,1800,1227.886
Croatia,HRV,1820,1227.886
Croatia,HRV,1950,3837.297
Croatia,HRV,1960,4036.145
Croatia,HRV,1970,4205.389
Croatia,HRV,1980,4383
Croatia,HRV,1990,4508.347
Croatia,HRV,2000,4410.83
Cuba,CUB,1650,30
Cuba,CUB,1750,172
Cuba,CUB,1800,272
Cuba,CUB,1810,572
Cuba,CUB,1820,605
Cuba,CUB,1830,1008
Cuba,CUB,1840,1008
Cuba,CUB,1850,1186
Cuba,CUB,1860,1397
Cuba,CUB,1870,1331
Cuba,CUB,1880,1522
Cuba,CUB,1890,1632
Cuba,CUB,1900,1658
Cuba,CUB,1910,2219
Cuba,CUB,1920,2997
Cuba,CUB,1930,3837
Cuba,CUB,1940,4566
Cuba,CUB,1950,5784.797
Cuba,CUB,1960,7027.21
Cuba,CUB,1970,8542.746
Cuba,CUB,1980,9652.975
Cuba,CUB,1990,10513
Cuba,CUB,2000,11106
Cyprus,CYP,1600,180
Cyprus,CYP,1800,184.392
Cyprus,CYP,1880,186
Cyprus,CYP,1890,209
Cyprus,CYP,1900,237
Cyprus,CYP,1910,274
Cyprus,CYP,1920,311
Cyprus,CYP,1930,348
Cyprus,CYP,1940,450
Cyprus,CYP,1950,494
Cyprus,CYP,1960,573
Cyprus,CYP,1970,614.6
Cyprus,CYP,1980,611
Cyprus,CYP,1990,681.3489999999999
Cyprus,CYP,2000,758.363
Czechia,CZE,1800,5516.349
Czechia,CZE,1820,5516.349
Czechia,CZE,1950,8925.122
Czechia,CZE,1960,9659.818000000001
Czechia,CZE,1970,9795.226
Czechia,CZE,1980,10288.726
Czechia,CZE,1990,10309.514000000001
Czechia,CZE,2000,10270.128
Denmark,DNK,1500,600
Denmark,DNK,1600,650
Denmark,DNK,1700,700
Denmark,DNK,1800,1000
Denmark,DNK,1820,1155
Denmark,DNK,1830,1273
Denmark,DNK,1840,1357
Denmark,DNK,1850,1499
Denmark,DNK,1860,1696
Denmark,DNK,1870,1888
Denmark,DNK,1880,2081
Denmark,DNK,1890,2294
Denmark,DNK,1900,2561
Denmark,DNK,1910,2882
Denmark,DNK,1920,3242
Denmark,DNK,1930,3542
Denmark,DNK,1940,3832
Denmark,DNK,1950,4271
Denmark,DNK,1960,4581
Denmark,DNK,1970,4928.7570000000005
Denmark,DNK,1980,5123.027
Denmark,DNK,1990,5140.954000000001
Denmark,DNK,2000,5337.416
Djibouti,DJI,1800,22.848000000000003
Djibouti,DJI,1820,22.848000000000003
Djibouti,DJI,1850,40.414274113299996
Djibouti,DJI,1860,40.414274113299996
Djibouti,DJI,1870,40.414274113299996
Djibouti,DJI,1880,40.8202403549
Djibouti,DJI,1890,41.2302845763
Djibouti,DJI,1900,42.4840256688
Djibouti,DJI,1910,43.775890842799996
Djibouti,DJI,1920,44.65933049229999
Djibouti,DJI,1930,49.3316845679
Djibouti,DJI,1940,53.423368366800005
Djibouti,DJI,1950,62
Djibouti,DJI,1960,85
Djibouti,DJI,1970,158.034
Djibouti,DJI,1980,279.149
Djibouti,DJI,1990,366.088
Djibouti,DJI,2000,430.82199999999995
